,H1,H2,H3,H4,H5,H6,H7,H8,HWavg,Q1,Q2,Proj1,Proj2,total
43,9.75,10.0,10.0,10.0,9.5,9.5,10.0,10.0,9.84375,85.33333333,82.31707317,95.0,95.0,87.2558943085
44,9.75,10.0,10.0,10.0,10.0,9.5,10.0,10.0,9.90625,73.80952381,69.51219512,96.5,89.0,83.132781649
45,10.0,10.0,10.0,9.8,9.9,9.0,7.0,8.0,9.212499999999999,74.23076923,78.79,98.63,93.83,84.53507692299999
46,10.0,9.5,10.0,10.0,10.0,10.0,9.9,10.0,9.925,92.69230769,92.41,95.25,93.58,89.395730769
47,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,91.15384615,89.45,92.13,93.67,88.346384615
48,10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.9375,91.89473684,92.64705882,92.3,93.0,88.646532507
49,9.5,10.0,9.5,9.5,9.5,10.0,10.0,10.0,9.75,74.94736842,79.41176471,89.5,92.7,83.8815015485
50,10.0,10.0,9.5,9.5,10.0,8.5,10.0,10.0,9.6875,53.33333333,48.17073171,95.5,94.0,78.4089430895
51,10.0,10.0,10.0,10.0,9.7,10.0,10.0,10.0,9.9625,64.73684211,76.47058824,90.0,91.3,82.679272447
52,10.0,10.0,10.0,9.9,9.5,10.0,10.0,10.0,9.925,90.47619048,89.02439024,96.5,96.0,89.521277584
53,10.0,10.0,10.0,9.8,9.5,9.5,10.0,10.0,9.85,81.33333333,76.2195122,96.5,86.0,84.006260163
54,9.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.8125,86.21052632,91.91176471,92.0,93.3,87.6828173385
55,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.38461538,100.0,98.88,94.167,91.65621153800001
56,10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.0,9.8625,84.15384615,80.56521739,88.63,90.67,84.5636672235
57,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,94.23076923,91.64,99.63,97.5,91.47007692300001
58,9.5,10.0,10.0,10.0,10.0,9.5,9.5,10.0,9.8125,47.14285714,60.36585366,96.5,96.0,80.619163763
59,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.38461538,100.0,89.13,93.67,89.781961538
60,10.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,8.875,87.69230769,82.96,99.13,92.83,85.546730769
61,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.75,95.0,97.74,92.63,94.08,89.60699999999999
62,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,90.52631579,91.17647059,92.3,93.0,88.43910216750001
63,9.5,9.5,9.9,10.0,9.7,10.0,10.0,10.0,9.825,82.10526316,83.82352941,96.0,94.0,87.0640557275
64,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.975,90.76923077,84.71,98.63,93.83,88.906923077
65,10.0,10.0,10.0,9.8,10.0,10.0,9.8,9.8,9.924999999999999,88.30769231,80.06,99.5,93.92,88.03976923100001
66,10.0,10.0,9.75,10.0,10.0,10.0,9.5,10.0,9.90625,72.85714286,78.65853659,95.5,94.0,85.4594947745
67,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.07692308,93.08,98.88,92.67,90.713192308
68,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,99.23076923,99.84,98.88,92.83,91.882576923
69,9.5,10.0,10.0,10.0,9.9,6.5,10.0,6.0,8.9875,94.23076923,85.3,87.5,90.33,83.870576923
